title,size,colors,kind,solutions
6_5_0,6,5,sign,352248
6_5_1,6,5,sign,355388
6_5_2,6,5,sign,199130
6_5_3,6,5,sign,322246
6_5_4,6,5,sign,287428
6_5_5,6,5,sign,394694
6_5_6,6,5,sign,233748
6_5_7,6,5,sign,164322
6_5_8,6,5,sign,177196
6_5_9,6,5,sign,201884
6_6_0,6,6,sign,112784
6_6_1,6,6,sign,85718
6_6_2,6,6,sign,231430
6_6_3,6,6,sign,107296
6_6_4,6,6,sign,146428
6_6_5,6,6,sign,110184
6_6_6,6,6,sign,63672
6_6_7,6,6,sign,48976
6_6_8,6,6,sign,110290
6_6_9,6,6,sign,132020
6_7_0,6,7,sign,85416
6_7_1,6,7,sign,97438
6_7_2,6,7,sign,70718
6_7_3,6,7,sign,75618
6_7_4,6,7,sign,95202
6_7_5,6,7,sign,30738
6_7_6,6,7,sign,26282
6_7_7,6,7,sign,40272
6_7_8,6,7,sign,38032
6_7_9,6,7,sign,43202
6_8_0,6,8,sign,20896
6_8_1,6,8,sign,24644
6_8_2,6,8,sign,21868
6_8_3,6,8,sign,37926
6_8_4,6,8,sign,12004
6_8_5,6,8,sign,19536
6_8_6,6,8,sign,31018
6_8_7,6,8,sign,7598
6_8_8,6,8,sign,23338
6_8_9,6,8,sign,52912
6_9_0,6,9,sign,5138
6_9_1,6,9,sign,8614
6_9_2,6,9,sign,13678
6_9_3,6,9,sign,9746
6_9_4,6,9,sign,9322
6_9_5,6,9,sign,24880
6_9_6,6,9,sign,12428
6_9_7,6,9,sign,9028
6_9_8,6,9,sign,33112
6_9_9,6,9,sign,6376
6_10_0,6,10,sign,2712
6_10_1,6,10,sign,10644
6_10_2,6,10,sign,3088
6_10_3,6,10,sign,22048
6_10_4,6,10,sign,3212
6_10_5,6,10,sign,3522
6_10_6,6,10,sign,2242
6_10_7,6,10,sign,6186
6_10_8,6,10,sign,2386
6_10_9,6,10,sign,3906
6_11_0,6,11,sign,2852
6_11_1,6,11,sign,3396
6_11_2,6,11,sign,3832
6_11_3,6,11,sign,2760
6_11_4,6,11,sign,1260
6_11_5,6,11,sign,2428
6_11_6,6,11,sign,11930
6_11_7,6,11,sign,1416
6_11_8,6,11,sign,730
6_11_9,6,11,sign,5670
6_12_0,6,12,sign,1654
6_12_1,6,12,sign,1296
6_12_2,6,12,sign,3296
6_12_3,6,12,sign,1096
6_12_4,6,12,sign,814
6_12_5,6,12,sign,1494
6_12_6,6,12,sign,2714
6_12_7,6,12,sign,4460
6_12_8,6,12,sign,918
6_12_9,6,12,sign,3106
6_13_0,6,13,sign,742
6_13_1,6,13,sign,722
6_13_2,6,13,sign,972
6_13_3,6,13,sign,902
6_13_4,6,13,sign,794
6_13_5,6,13,sign,3846
6_13_6,6,13,sign,992
6_13_7,6,13,sign,1224
6_13_8,6,13,sign,208
6_13_9,6,13,sign,1360
